comune,year,DC_VV,bui_labf,laurea_p,laureaf_p,h_wo_water_wc_p,illiterate_p,young_p,Mafia1987
trabia,1983,0.510511159896851,0.12312325835228,0.0143629405647516,0.00725584756582975,5.27823576703668e-4,0.0805094838142395,0.409305274486542,1
trabia,1987,0.611437261104584,0.143456175923347,0.0166025683283806,0.00852441508322954,0.0010076827602461,0.0699435994029045,0.399644583463669,1
trabia,1992,0.52791565656662,0.155054897069931,0.0207025222480297,0.0108859101310372,0.00133878760971129,0.0574995614588261,0.383232235908508,1
trapani,1946,0.111738741397858,0.137888103723526,0.0123381577432156,0.00252568209543824,0.0270248129963875,0.185341700911522,0.475264668464661,1
trapani,1948,0.213785663247108,0.143618404865265,0.0128484861925244,0.00272129685617983,0.0236029960215092,0.174849689006805,0.469845116138458,1
trapani,1953,0.260783821344376,0.157944157719612,0.0141243077814579,0.00321033364161849,0.0150484507903457,0.148619666695595,0.456296235322952,1
trapani,1958,0.279956310987473,0.172269910573959,0.0154001303017139,0.0036993701942265,0.00649390602484345,0.122389644384384,0.442747354507446,1
trapani,1963,0.279869943857193,0.169000700116158,0.0170360710471869,0.00440905103459954,0.00137126003392041,0.0997536703944206,0.429078638553619,1
trapani,1968,0.321016043424606,0.139339029788971,0.0192121919244528,0.00544969830662012,0.00139646220486611,0.0825087875127792,0.415230125188828,1
trapani,1972,0.363852560520172,0.120073445141315,0.0212105289101601,0.0065358174033463,0.00128988933283836,0.0687842890620232,0.406852066516876,1
trapani,1976,0.393082052469254,0.11419914662838,0.0239811800420284,0.00838274136185646,8.03112634457648e-4,0.0552740022540092,0.406576156616211,1
trapani,1979,0.381790459156036,0.109793424606323,0.0260591674596071,0.00976793374866247,4.38030139775947e-4,0.0451412834227085,0.406369268894196,1
trapani,1983,0.362543851137161,0.106669269502163,0.0287069641053677,0.0113935265690088,3.19749291520566e-4,0.0369077399373055,0.397960871458054,1
trapani,1987,0.357106804847717,0.106295272707939,0.0312319081276655,0.0127977887168527,5.69964293390512e-4,0.0339509434998035,0.381419956684113,1
trapani,1992,0.369974613189697,0.101829744875431,0.0362834855914116,0.0157666597515345,7.57182249799371e-4,0.029808521270752,0.358043223619461,1
trecastagni,1946,0.620155036449432,0.0167102441191673,0.00600959034636617,7.51198793295771e-4,0.0114151947200298,0.264981895685196,0.434286504983902,0
trecastagni,1948,0.721837937831879,0.0344163924455643,0.00628656940534711,7.85821175668389e-4,0.0108703402802348,0.245892241597176,0.431473881006241,0
trecastagni,1953,0.441813588142395,0.0786817595362663,0.00697901751846075,8.72377189807594e-4,0.00950820371508598,0.198168098926544,0.424442321062088,0
